"","folio","Edo","VERSION","INCIO","B","C","p1","p2a","p2b","p2c","P4","P5","p6","p7","P8","P9","P10A","P10B","P10C","P10D","P10E","P11","P12A","P12B","P12C","P12D","P12E","P12F","P12G","P12H","P12I","P12J","P12K","P12L","P12M","P12N","P12O","P12P","P12Q","P13A","P13B","P13C","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","p26","P27","P28","P29A","P29B","P29C","P29D","P29E","P29F","P29G","P30","P31","P32","P33","P34","P35A","P35B","P35D","P35E","P36","P37","P38A","P38B","P38C","P38D","P38E","P39A","P39B","P39C","P39D","P40","P41A","P41B","P41C","P42","P43","P44","P45","P46A","P46B","P46C","P46D","P46E","P46F","P46G","P47","boleta1","boleta2","FINAL","DIA","escol_x","gedad","cruce","ponde_rake","cve_unica_sec","circ","ClaveEntidad","Entidad","ClaveMun","Municipio","DistritoFederal","SECCION","Tipo1","FE_Final_","p1_recodificada","p19_recodificada"
"550",550,"Jalisco","Versión B",1801,"Hombre","45","Desempleo","Desempleo","Corrupción","Inseguridad pública","Desaprueba totalmente","Que renuncie","Robo","Deshonestidad","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Mucha","Algo","Algo","Algo","Mucha","Poca","Poca","Poca","Algo","Algo","Mucha","Mucha","Algo","Mucha","Mucha","Algo","Algo","Corrupto","Corrupto","Corrupto","Nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Es inútil","Ns/Nc","Una","No",NA,NA,"No aplica","No",NA,"No sirve denunciar","Aumentado","Aumentará","Sí","No","Sí","No","Sí","No","Sí","El Gobierno","Muy mal","Está fracasando","No","Menores","Mucho","Mucho","Algo","Algo","Seguridad pública","Las personas son honestas y no necesitan ser vigiladas","Mucha","Algo","Algo","Mucha","Algo","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Bien","Castigar","Castigar","Castigar","Otro","PAN","Preparatoria o bachillerato","Trabajador por cuenta propia","Sí","Sí","Sí","Sí","Sí","Sí","Sí","$16,001 -  $ 20,000","PVEM","PVEM",1826,2,"Preparatoria o equivalente","30-49",12,0.73757636124298,1141333,1,14,"Jalisco            ",41,"GUADALAJARA                                      ",9,1333,"Urbano",46866.2211997143,"Desempleo",1
"551",551,"Jalisco","Versión A",900,"Mujer","65","Seguridad / Inseguridad","Inseguridad pública","Pobreza","Aumento de precios/Inflación","Aprueba algo","Que permanezca","Todos formamos parte / todos nosotros/ en todos lados","Coraje/Molestia / Enojo","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Poca","Algo","Poca","Algo","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Poca","Corrupto","Corrupto","Corrupto","La mayoría de las veces","La mayoría de las veces","Frecuentemente","Sirve","Sí","Dos","Sí","3","2000","No","No",NA,"No he sido víctima de corrupción","Igual","Disminuirá","No","Sí","Sí","Sí","No","No","No","El Gobierno","Bien","Está siendo exitoso","No","Mayores","Mucho","Mucho","Algo","Mucho","Salud","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Algo","Poca","Algo","Algo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","No lo conoce","Castigar","Castigar","Castigar","Ninguno","Ninguno","Preparatoria o bachillerato","Ama de casa","Sí","Sí","Sí","Sí","No","Sí","Sí","$10,001 -  $16,000","Ns/Nc","Ns/Nc",925,2,"Preparatoria o equivalente","50-+",23,0.798872463352781,1141956,1,14,"Jalisco            ",69,"PUERTO VALLARTA                                  ",5,1956,"Urbano",50761.0269867613,"Inseguridad",2
"552",552,"Jalisco","Versión B",930,"Hombre","34","Corrupción","Desempleo","Corrupción","Mal gobierno","Aprueba totalmente","Que permanezca","Otra respuesta","Poder / Abuso de poder","La cultura y educación","No se justifica","Sí","No","No","No","No","En las empresas y sector privado","Poca","Algo","Mucha","Algo","Algo","Poca","Nada","Poca","Poca","Algo","Algo","Mucha","Poca","Mucha","Mucha","Algo","Mucha","Corrupto","Honesto","Honesto","Nunca","Sólo algunas veces/Casi nunca","Rara vez","Es inútil","No","Dos","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Disminuido","Disminuirá","No","No","No","No","No","No","No","El Gobierno","Regular","Ns/Nc","No","Mayores","Poco","Mucho","Poco","Mucho","Educación","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Nada","Poca","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Morena","PRI","Universidad terminada","Trabajador en el gobierno","Sí","No","Sí","Sí","No","Sí","Sí","$6,001 -  $10,000","MORENA","MORENA",958,2,"Universidad o más","30-49",12,1.48964238426014,1141956,1,14,"Jalisco            ",69,"PUERTO VALLARTA                                  ",5,1956,"Urbano",94653.1276728466,"Corrupción",2
"553",553,"Jalisco","Versión A",1003,"Hombre","62","Seguridad / Inseguridad","Inseguridad pública","Pobreza","Desempleo","Desaprueba algo","Que renuncie","Políticos","Políticos","La impunidad o falta de castigo","No se justifica","Sí","No","No","No","No","En el Gobierno y sector público","Algo","Mucha","Mucha","Poca","Algo","Mucha","Poca","Algo","Algo","Mucha","Mucha","Mucha","Mucha","Poca","Poca","Mucha","Mucha","Corrupto","Corrupto","Corrupto","Nunca","Nunca","Muy frecuentemente","Es inútil","No","Dos","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Aumentado","Aumentará","No","No","Sí","No","No","No","Sí","Los ciudadanos","Muy mal","Está fracasando","Sí","Mayores","Mucho","Poco","Mucho","Mucho","Programas sociales","Las personas son honestas y no necesitan ser vigiladas","Mucha","Nada","Nada","Nada","Poca","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Ns/Nc","Castigar","Castigar","Castigar","PAN","Ninguno","Universidad terminada","Trabajador en sector privado","Sí","No","Sí","Sí","Sí","Sí","Sí","$6,001 -  $10,000","PAN","PAN",1030,2,"Universidad o más","50-+",13,1.20274294503072,1141956,1,14,"Jalisco            ",69,"PUERTO VALLARTA                                  ",5,1956,"Urbano",76423.2964478589,"Inseguridad",2
"554",554,"Jalisco","Versión B",1038,"Mujer","23","Violencia","Corrupción","Desempleo","Aumento de precios/Inflación","Aprueba algo","Que permanezca","Políticos","Políticos","La cultura y educación","Sí se justifica","Sí","No","Sí","No","No","Entre los ciudadanos","Mucha","Algo","Poca","Poca","Algo","Algo","Nada","Algo","Algo","Poca","Algo","Mucha","Algo","Poca","Nada","Algo","Poca","Ns/Nc","Honesto","Ns/Nc","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Sirve","No","Dos","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Igual","Disminuirá","No","No","No","No","No","No","No","Los ciudadanos","Regular","Ns/Nc","No","Mayores","Algo","Poco","Poco","Poco","Educación","Las personas son honestas y no necesitan ser vigiladas","Algo","Mucha","Nada","Nada","Poca","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","No lo conoce","Castigar","Castigar","Castigar","Morena","PRI","Universidad sin terminar","Trabajador por cuenta propia","Sí","Sí","Sí","Sí","No","Sí","Sí","$6,001 -  $10,000","MORENA","MORENA",1105,2,"Preparatoria o equivalente","18-29",21,0.899190930156011,1141956,1,14,"Jalisco            ",69,"PUERTO VALLARTA                                  ",5,1956,"Urbano",57135.3465862848,"Inseguridad",2
"555",555,"Jalisco","Versión A",1110,"Hombre","54","Corrupción","Corrupción","Desempleo","Aumento de precios/Inflación","Aprueba totalmente","Que permanezca","Desempleo","Mal gobierno / Gobierno","La pobreza y desigualdad","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Nada","Poca","Mucha","Algo","Mucha","Mucha","Poca","Poca","Nada","Poca","Mucha","Mucha","Poca","Poca","Algo","Mucha","Mucha","Corrupto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Poco frecuente","Es inútil","No","Una","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Disminuido","Disminuirá","No","No","No","No","No","No","Sí","El Gobierno","Bien","Está siendo exitoso","No","Mayores","Algo","Algo","Algo","Poco","Impartición de justicia","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Nada","Algo","Mucha","Mucha","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Bien","Ns/Nc","Ns/Nc","Ns/Nc","Morena","PAN","Ninguno","Trabajador por cuenta propia","Sí","Sí","Sí","Sí","No","Sí","Sí","$2,601 -  $6,000","MORENA","MORENA",1136,2,"Hasta primaria","50-+",13,1.01311182301472,1141956,1,14,"Jalisco            ",69,"PUERTO VALLARTA                                  ",5,1956,"Urbano",64373.9757568124,"Corrupción",1
"556",556,"Jalisco","Versión B",1145,"Mujer","42","Seguridad / Inseguridad","Inseguridad pública","Mal gobierno","Pobreza","Aprueba algo","Que permanezca","Mal gobierno / Gobierno","Coraje/Molestia / Enojo","La cultura y educación","Sí se justifica","Sí","No","No","No","No","En las empresas y sector privado","Poca","Poca","Poca","Algo","Algo","Mucha","Algo","Poca","Poca","Poca","Algo","Algo","Algo","Poca","Mucha","Mucha","Algo","Corrupto","Corrupto","Corrupto","La mayoría de las veces","La mayoría de las veces","Muy frecuentemente","Es inútil","No","Dos","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Igual","Igual","No","No","No","Sí","No","No","Sí","Los ciudadanos","Regular","Ns/Nc","No","Mayores","Algo","Mucho","Mucho","Poco","Economía","Las personas son honestas y no necesitan ser vigiladas","Algo","Algo","Algo","Poca","Algo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Bien","Castigar","Perdonar","Perdonar","Ninguno","PRI","Secundaria","Ama de casa","Sí","Sí","Sí","Sí","No","Sí","Sí","$10,001 -  $16,000","Candidato Independiente","Candidato Independiente",1210,2,"Secundaria","30-49",22,0.760722874693201,1141956,1,14,"Jalisco            ",69,"PUERTO VALLARTA                                  ",5,1956,"Urbano",48336.970096184,"Inseguridad",2
"557",557,"Jalisco","Versión A",1220,"Mujer","49","Desempleo","Corrupción","Inseguridad pública","Economía","Aprueba totalmente","Que permanezca","PRI","Mal gobierno / Gobierno","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Nada","Mucha","Mucha","Poca","Mucha","Mucha","Mucha","Poca","Poca","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Algo","Corrupto","Honesto","Corrupto","Nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Es inútil","No","Dos","No",NA,NA,"Sí","No",NA,"Por miedo a represalias","Disminuido","Disminuirá","Sí","No","No","No","No","No","Sí","El Gobierno","Regular","Ns/Nc","No","Mayores","Poco","Nada","Poco","Nada","Impartición de justicia","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Algo","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Bien","Castigar","Perdonar","Castigar","Ninguno","PRI","Secundaria","Trabajador en sector privado","Sí","No","Sí","No","No","Sí","Sí","$6,001 -  $10,000","MORENA","MORENA",1245,2,"Secundaria","30-49",22,0.760722874693201,1141956,1,14,"Jalisco            ",69,"PUERTO VALLARTA                                  ",5,1956,"Urbano",48336.970096184,"Desempleo",2
"558",558,"Jalisco","Versión B",1250,"Hombre","47","Seguridad / Inseguridad","Corrupción","Desempleo","Inseguridad pública","Aprueba algo","Que permanezca","Políticos","Injusticia","La impunidad o falta de castigo","Sí se justifica","No","No","No","Sí","No","En el Gobierno y sector público","Algo","Algo","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Nada","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Honesto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Nunca","Muy frecuentemente","Es inútil","No","Dos","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Igual","Igual","No","No","No","No","No","No","No","El Gobierno","Regular","Está fracasando","Sí","No habría diferencia","Mucho","Mucho","Algo","Algo","Impartición de justicia","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Algo","Algo","Mucha","Mucha","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","No lo conoce","Castigar","Castigar","Castigar","Ninguno","PAN","Primaria","Desempleado","Sí","No","No","Sí","No","No","No","$2,601 -  $6,000","Candidato Independiente","Candidato Independiente",1318,2,"Hasta primaria","30-49",12,1.2547771057757,1141956,1,14,"Jalisco            ",69,"PUERTO VALLARTA                                  ",5,1956,"Urbano",79729.5907050475,"Inseguridad",2
"559",559,"Jalisco","Versión A",1323,"Mujer","27","Delincuencia","Corrupción","Mal gobierno","Inseguridad pública","Aprueba algo","Que permanezca","Robo","Desacuerdos","La cultura y educación","No se justifica","No","No","No","No","No","Entre los ciudadanos","Mucha","Poca","Algo","Poca","Poca","Poca","Poca","Poca","Algo","Algo","Mucha","Algo","Algo","Mucha","Mucha","Mucha","Algo","Corrupto","Corrupto","Corrupto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Es inútil","No","Dos","Sí","2","120","No aplica","No",NA,"No sirve denunciar","Igual","Disminuirá","No","No","No","No","No","No","Sí","El Gobierno","Bien","Está siendo exitoso","No","Mayores","Algo","Mucho","Algo","Algo","Economía","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Algo","Mucha","Mucha","Mucha","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","Bien","Perdonar","Castigar","Perdonar","PAN","Otro","Secundaria","Trabajador por cuenta propia","Sí","Sí","Sí","Sí","No","Sí","Sí","$6,001 -  $10,000","MORENA","MORENA",1350,2,"Secundaria","18-29",21,0.909512391194432,1141956,1,14,"Jalisco            ",69,"PUERTO VALLARTA                                  ",5,1956,"Urbano",57791.1808856862,"Inseguridad",2
"560",560,"Jalisco","Versión B",1402,"Hombre","26","Seguridad / Inseguridad","Corrupción","Inseguridad pública","Aumento de precios/Inflación","Aprueba algo","Que permanezca","Mal gobierno / Gobierno","No hay castigo","La cultura y educación","No se justifica","No","No","No","Sí","No","En el Gobierno y sector público","Poca","Poca","Poca","Poca","Poca","Algo","Poca","Poca","Poca","Poca","Poca","Poca","Algo","Poca","Poca","Poca","Poca","Corrupto","Corrupto","Corrupto","La mayoría de las veces","Sólo algunas veces/Casi nunca","Frecuentemente","Sirve","No","Dos","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Disminuido","Disminuirá","No","No","No","No","No","No","No","El Gobierno","Bien","Está siendo exitoso","Sí","Mayores","Poco","Poco","Poco","Poco","Programas sociales","Las personas son honestas y no necesitan ser vigiladas","Mucha","Mucha","Nada","Mucha","Algo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","No lo conoce","Castigar","Castigar","Castigar","Ninguno","Ninguno","Preparatoria o bachillerato","Trabajador por cuenta propia","Sí","Sí","No","Sí","No","Sí","Sí","$6,001 -  $10,000","MORENA","MORENA",1430,2,"Preparatoria o equivalente","18-29",11,0.827720774556879,1141956,1,14,"Jalisco            ",69,"PUERTO VALLARTA                                  ",5,1956,"Urbano",52594.0728992564,"Inseguridad",2
"561",561,"Jalisco","Versión A",1049,"Mujer","40","Economía","Economía","Inseguridad pública","Aumento de precios/Inflación","Desaprueba totalmente","Que permanezca","Narcotráfico","Policias","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","Entre los ciudadanos","Algo","Poca","Algo","Algo","Poca","Mucha","Algo","Mucha","Nada","Nada","Mucha","Mucha","Algo","Nada","Algo","Mucha","Nada","Honesto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Sirve","Sí","Dos","No",NA,NA,"Sí","Sí","Sí",NA,"Igual","Disminuirá","No","No","No","No","No","No","No","Los ciudadanos","Bien","Está siendo exitoso","Sí","Mayores","Mucho","Mucho","Mucho","Mucho","Servicios públicos","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Algo","Mucha","Algo","Mucha","Algo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy bien","Castigar","Castigar","Castigar","Morena","PAN","Preparatoria o bachillerato sin terminar","Trabajador por cuenta propia","Sí","No","Sí","No","No","Sí","Sí","$2,601 -  $6,000","MORENA","MORENA",1114,1,"Secundaria","30-49",22,0.760722874693201,1142178,1,14,"Jalisco            ",83,"SAYULA                                           ",19,2178,"Mixto",44788.7261647191,"Economía",2
"562",562,"Jalisco","Versión B",1118,"Mujer","19","Pavimentación / Arreglo de calles / Bacheo","Economía","Inseguridad pública","Aumento de precios/Inflación","Aprueba totalmente","Que renuncie","Todos formamos parte / todos nosotros/ en todos lados","Injusticia","La pobreza y desigualdad","Ns/Nc","No","No","No","No","No","En el Gobierno y sector público","Algo","Mucha","Poca","Poca","Mucha","Algo","Algo","Poca","Mucha","Algo","Mucha","Poca","Poca","Algo","Algo","Poca","Ns/Nc","Ns/Nc","Ns/Nc","Corrupto","La mayoría de las veces","La mayoría de las veces","Muy frecuentemente","Sirve","No","Una","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Igual","Aumentará","No","No","No","No","No","No","No","El Gobierno","Bien","Está siendo exitoso","No","Mayores","Nada","Nada","Poco","Nada","Servicios públicos","Las personas son honestas y no necesitan ser vigiladas","Mucha","Algo","Algo","Algo","Algo","Ns/Nc","En desacuerdo","Ns/Nc","De acuerdo","Bien","Castigar","Castigar","Castigar","Ninguno","Ns/Nc","Secundaria","Ama de casa","No","No","No","No","No","Sí","No","$2,601 -  $6,000","Ns/Nc","Leyendas en la boleta",1142,1,"Secundaria","18-29",21,0.909512391194432,1142178,1,14,"Jalisco            ",83,"SAYULA                                           ",19,2178,"Mixto",53548.9371856407,"Servicios Públicos",1
"563",563,"Jalisco","Versión A",1146,"Hombre","49","Pobreza","Pobreza","Inseguridad pública","Aumento de precios/Inflación","Aprueba algo","Que permanezca","Trampa","Corrupción","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Algo","Mucha","Mucha","Algo","Algo","Mucha","Algo","Mucha","Algo","Mucha","Mucha","Mucha","Mucha","Algo","Mucha","Mucha","Ns/Nc","Corrupto","Honesto","Honesto","La mayoría de las veces","Sólo algunas veces/Casi nunca","Muy frecuentemente","Sirve","No","Una","Sí","1","500","Sí","No",NA,"No sabía en dónde hacerlo","Igual","Disminuirá","Sí","No","No","No","No","Sí","No","Ambas / Los dos","Muy bien","Está siendo exitoso","No","Mayores","Algo","Mucho","Algo","Algo","Servicios públicos","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Algo","Algo","En desacuerdo","En desacuerdo","En desacuerdo","De acuerdo","Muy bien","Castigar","Castigar","Castigar","Morena","PRI","Secundaria","Trabajador por cuenta propia","Sí","Sí","Sí","Sí","No","Sí","Sí","$2,601 -  $6,000","MORENA","MORENA",1213,1,"Secundaria","30-49",12,0.746042711847861,1142178,1,14,"Jalisco            ",83,"SAYULA                                           ",19,2178,"Mixto",43924.4090584423,"Pobreza",1
"564",564,"Jalisco","Versión B",1216,"Hombre","72","Seguridad / Inseguridad","Inseguridad pública","Corrupción","Pobreza","Aprueba algo","Que permanezca","Mal gobierno / Gobierno","No hay castigo","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Poca","Mucha","Algo","Algo","Mucha","Mucha","Algo","Algo","Poca","Mucha","Mucha","Mucha","Algo","Poca","Poca","Algo","Poca","Ns/Nc","Ns/Nc","Honesto","La mayoría de las veces","Sólo algunas veces/Casi nunca","Muy frecuentemente","Sirve","No","Dos","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Aumentado","Ns/Nc","No","No","No","No","No","No","No","Todos","Regular","Ns/Nc","No","Mayores","Mucho","Algo","Algo","Algo","Impartición de justicia","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Algo","Mucha","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","Mal","Castigar","Castigar","Castigar","Ninguno","Ns/Nc","Primaria sin terminar","Campesino o jornalero","Sí","No","No","No","No","No","No","$2,601 -  $6,000","Leyendas en la boleta","Ninguno",1248,1,"Hasta primaria","50-+",13,1.01311182301472,1142178,1,14,"Jalisco            ",83,"SAYULA                                           ",19,2178,"Mixto",59648.5126512668,"Inseguridad",2
"565",565,"Jalisco","Versión A",1254,"Mujer","42","Ns / Nc","Desempleo","Aumento de precios/Inflación","Economía","Aprueba totalmente","Que permanezca","Cobros indebidos","Ns/Nc","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En las empresas y sector privado","Nada","Algo","Algo","Ns/Nc","Nada","Ns/Nc","Ns/Nc","Algo","Ns/Nc","Nada","Ns/Nc","Ns/Nc","Ns/Nc","Nada","Mucha","Algo","Ns/Nc","Ns/Nc","Honesto","Ns/Nc","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Es inútil","No","Una","No",NA,NA,"No","No",NA,"No sirve denunciar","Disminuido","Disminuirá","No","No","No","No","No","No","No","Ns/Nc","Bien","Ns/Nc","Sí","No habría diferencia","Poco","Nada","Algo","Nada","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Ns/Nc","Ns/Nc","Ns/Nc","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","No lo conoce","Castigar","Castigar","Castigar","Morena","PRI","Secundaria sin terminar","Ama de casa","No","No","No","No","No","No","No","$2,601 -  $6,000","MORENA","MORENA",1318,1,"Hasta primaria","30-49",22,1.27946782650101,1142178,1,14,"Jalisco            ",83,"SAYULA                                           ",19,2178,"Mixto",75330.630935521,"Ns/Nc",1
"566",566,"Jalisco","Versión B",1322,"Mujer","56","Delincuencia","Inseguridad pública","Corrupción","Desempleo","Aprueba algo","Que permanezca","Robo","Injusticia","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Algo","Mucha","Mucha","Algo","Mucha","Mucha","Algo","Algo","Algo","Algo","Mucha","Mucha","Mucha","Algo","Mucha","Mucha","Mucha","Honesto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Poco frecuente","Sirve","No","Dos","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Igual","Igual","No","No","No","No","No","No","No","El Gobierno","Regular","Está siendo exitoso","No","Mayores","Mucho","Mucho","Algo","Algo","Programas sociales","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","No lo conoce","Castigar","Castigar","Castigar","PAN","PRI","Secundaria sin terminar","Ama de casa","No","No","No","No","No","No","No","$2,601 -  $6,000","PAN","Moviento Ciudadano",1348,1,"Hasta primaria","50-+",23,1.35905504856531,1142178,1,14,"Jalisco            ",83,"SAYULA                                           ",19,2178,"Mixto",80016.4507180354,"Inseguridad",2
"567",567,"Jalisco","Versión A",1351,"Mujer","73","Delincuencia","Inseguridad pública","Desempleo","Aumento de precios/Inflación","Aprueba algo","Que permanezca","Soborno","Ns/Nc","La pobreza y desigualdad","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Ns/Nc","Algo","Algo","Algo","Algo","Algo","Poca","Algo","Poca","Ns/Nc","Algo","Mucha","Algo","Ns/Nc","Algo","Algo","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Es inútil","No","Una","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Igual","Ns/Nc","No","No","No","No","No","No","No","El Gobierno","Regular","Ns/Nc","Ns/Nc","Mayores","Poco","Poco","Algo","Poco","Ns/Nc","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Algo","Ns/Nc","Algo","Ns/Nc","Ns/Nc","De acuerdo","De acuerdo","No lo conoce","Ns/Nc","Castigar","Ns/Nc","Morena","Ns/Nc","Primaria sin terminar","Ama de casa","No","No","No","No","No","No","No","$2,601 -  $6,000","MORENA","Ns/Nc",1416,1,"Hasta primaria","50-+",23,1.35905504856531,1142178,1,14,"Jalisco            ",83,"SAYULA                                           ",19,2178,"Mixto",80016.4507180354,"Inseguridad",1
"568",568,"Jalisco","Versión B",1423,"Hombre","53","Corrupción","Inseguridad pública","Corrupción","Pobreza","Aprueba totalmente","Que permanezca","Políticos","Políticos","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Algo","Mucha","Algo","Algo","Algo","Mucha","Algo","Algo","Algo","Mucha","Mucha","Mucha","Mucha","Algo","Algo","Mucha","Ns/Nc","Ns/Nc","Honesto","Honesto","Sólo algunas veces/Casi nunca","Nunca","Muy frecuentemente","Es inútil","No","Dos","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Aumentado","Disminuirá","Sí","No","No","Sí","No","Sí","No","Ambas / Los dos","Bien","Está siendo exitoso","Sí","Mayores","Poco","Algo","Algo","Algo","Programas sociales","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Algo","Algo","Algo","Algo","Algo","De acuerdo","Ns/Nc","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Morena","PRI","Secundaria","Trabajador por cuenta propia","Sí","Sí","Sí","Sí","No","Sí","Sí","$6,001 -  $10,000","MORENA","MORENA",1447,1,"Secundaria","50-+",13,0.602357732196415,1142178,1,14,"Jalisco            ",83,"SAYULA                                           ",19,2178,"Mixto",35464.7354746983,"Corrupción",2
"569",569,"Jalisco","Versión A",1455,"Hombre","22","Narcotráfico / Venta de droga","Inseguridad pública","Corrupción","Economía","Aprueba algo","Que permanezca","Robo","No hay castigo","La impunidad o falta de castigo","No se justifica","Ns/Nc","No","No","No","No","En el Gobierno y sector público","Algo","Algo","Mucha","Ns/Nc","Algo","Mucha","Algo","Algo","Poca","Mucha","Mucha","Mucha","Algo","Poca","Ns/Nc","Mucha","Ns/Nc","Ns/Nc","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Es inútil","No","Una","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Igual","Disminuirá","No","No","No","No","Sí","No","Sí","El Gobierno","Bien","Está siendo exitoso","No","Mayores","Algo","Poco","Poco","Algo","Impartición de justicia","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Algo","Algo","Algo","Algo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Morena","PRI","Preparatoria o bachillerato sin terminar","Trabajador en sector privado","Sí","Sí","Sí","No","No","Sí","Sí","$6,001 -  $10,000","MORENA","MORENA",1520,1,"Secundaria","18-29",11,0.837221857629189,1142178,1,14,"Jalisco            ",83,"SAYULA                                           ",19,2178,"Mixto",49292.7211313241,"Inseguridad",1
